id;first_name;last_name;email;age;gender;state;street_address;postal_code;city;country;latitude;longitude;traffic_source;created_at
44184;Patricia;Martinez;patriciamartinez@example.net;36;F;Acre;09526 Hudson Vista Suite 861;69917-400;Rio Branco;Brasil;-10;-68;Search;6/27/2023 6:07:04
48555;Daniel;Mckinney;danielmckinney@example.com;67;M;Acre;4676 Kurt Heights;69917-400;Rio Branco;Brasil;-10;-68;Search;10/24/2020 4:57:00
80173;Regina;Hudson;reginahudson@example.org;61;F;Acre;20365 Boyd Spur Suite 939;69917-400;Rio Branco;Brasil;-10;-68;Display;01/03/2022
85798;Kenneth;Montes;kennethmontes@example.org;16;M;Acre;0604 Dorothy Cliff Suite 086;69917-400;Rio Branco;Brasil;-10;-68;Search;2/18/2023 6:55:00
88855;Zachary;Petersen;zacharypetersen@example.com;22;M;Acre;8398 Flores Dale;69917-400;Rio Branco;Brasil;-10;-68;Search;1/27/2022 17:30:00
99931;Jeffrey;Morgan;jeffreymorgan@example.org;37;M;Acre;5566 Maureen Square Apt. 041;69917-400;Rio Branco;Brasil;-10;-68;Search;09/09/2019
32489;Tina;Wilson;tinawilson@example.org;34;F;Acre;0062 Caitlin Bypass;69940-000;Sena Madureira;Brasil;-10;-69;Search;05/04/2022
43590;Jessica;Lee;jessicalee@example.org;23;F;Acre;019 Bailey Union;69940-000;Sena Madureira;Brasil;-10;-69;Organic;2/20/2022 3:21:00
78218;Lori;Bullock;loribullock@example.com;25;F;Acre;93187 Arnold Mountain Suite 991;69940-000;Sena Madureira;Brasil;-10;-69;Search;10/20/2021 10:01:00
83452;Rebecca;Hart;rebeccahart@example.com;15;F;Acre;3394 Thompson Plaza Apt. 893;69940-000;Sena Madureira;Brasil;-10;-69;Email;10/31/2019 3:51:00
89110;Joseph;Weber;josephweber@example.net;54;M;Acre;856 Guy Tunnel;69940-000;Sena Madureira;Brasil;-10;-69;Search;05/03/2019
1211;Alan;Mitchell;alanmitchell@example.net;38;M;Acre;340 Timothy Highway Suite 054;69970-000;Tarauacá;Brasil;-8;-72;Search;6/26/2021 12:31:00
29642;Scott;Johnson;scottjohnson@example.org;47;M;Acre;8851 Pratt Court Suite 904;69970-000;Tarauacá;Brasil;-8;-72;Facebook;3/15/2023 0:34:00
45151;Samuel;Guerrero;samuelguerrero@example.com;44;M;Acre;2329 Guerrero Plains Suite 066;69970-000;Tarauacá;Brasil;-8;-72;Search;06/12/2021
46456;Michelle;Baldwin;michellebaldwin@example.com;43;F;Acre;2074 May Pines;69970-000;Tarauacá;Brasil;-8;-72;Search;02/12/2020
47861;Jason;Carter;jasoncarter@example.net;49;M;Acre;565 Benton Run Suite 102;69970-000;Tarauacá;Brasil;-8;-72;Search;9/17/2019 13:59:00
